number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
73,0.635982495636322,2025-12-22 01:25:27.062439,2025-12-22 01:25:27.147341,0 days 00:00:00.084902,0.020707333791453265,0.0002246073155372473,0.0005861173772054234,poly,1.056540334093026,0.015778369837723072,1.4797396709962332,0.635982495636322,COMPLETE
74,-0.016093500809473645,2025-12-22 01:25:27.147425,2025-12-22 01:25:27.232910,0 days 00:00:00.085485,0.009648513589468732,0.0007381183540844975,0.00018357816126380602,sigmoid,1.0778179434535538,-0.007477318339853101,1.4971196247649396,-0.016093500809473645,COMPLETE
75,0.6975304682329967,2025-12-22 01:25:27.232998,2025-12-22 01:25:27.254199,0 days 00:00:00.021201,0.03530010179746871,0.7031866587677635,0.0023042963770262604,poly,0.8693234292857897,0.23592418827628248,1.303788332537297,0.6975304682329967,COMPLETE
76,0.43833222629869534,2025-12-22 01:25:27.254283,2025-12-22 01:25:27.353009,0 days 00:00:00.098726,0.06331901894367732,0.18373199557512065,,linear,0.9310328207842891,0.0027433750112014765,1.4895062490170459,0.43833222629869534,COMPLETE
77,0.6775168828147665,2025-12-22 01:25:27.353096,2025-12-22 01:25:27.439584,0 days 00:00:00.086488,0.26797195441734667,0.00012880376219668576,0.0013494310840995777,poly,0.7915693036620207,0.19163938057029006,1.3410390937986452,0.6775168828147665,COMPLETE
78,0.4631880747454486,2025-12-22 01:25:27.439667,2025-12-22 01:25:27.542266,0 days 00:00:00.102599,4.823476317906291,0.00019879183294674595,0.004300645708822661,poly,0.9264981871521053,0.08710485597747031,1.4251130368295761,0.4631880747454486,COMPLETE
79,0.6344719739953425,2025-12-22 01:25:27.542351,2025-12-22 01:25:27.626601,0 days 00:00:00.084250,0.1103270279680245,0.0005631476538117564,0.00032475760639344144,poly,1.058367284305411,0.013799366233298138,1.4812266021256888,0.6344719739953425,COMPLETE
80,0.414481188746598,2025-12-22 01:25:27.626687,2025-12-22 01:25:27.746385,0 days 00:00:00.119698,69.58477952012088,0.00039045365039679564,0.014695795127133999,rbf,1.0927722564682707,0.0034257597098471537,1.488996555633901,0.414481188746598,COMPLETE
81,0.69452264614702,2025-12-22 01:25:27.746476,2025-12-22 01:25:27.831167,0 days 00:00:00.084691,0.0023147819120650916,0.0007111295734423796,0.0019062625608442555,poly,0.9867035534420002,0.0792176283218512,1.431256139412472,0.69452264614702,COMPLETE
82,0.6866362027435687,2025-12-22 01:25:27.831253,2025-12-22 01:25:27.918984,0 days 00:00:00.087731,0.006501905705126647,0.0014216742776241684,0.005965675100368298,poly,0.7713223249067725,0.2026480674022827,1.3318762974380627,0.6866362027435687,COMPLETE
83,0.5455825681072394,2025-12-22 01:25:27.919071,2025-12-22 01:25:28.003688,0 days 00:00:00.084617,0.01667168664117345,0.00028013403499866903,0.0005123434806346398,poly,1.0686703608446486,0.004329739523822318,1.4883210775041715,0.5455825681072394,COMPLETE
84,0.7442178165455485,2025-12-22 01:25:28.003774,2025-12-22 01:25:28.089021,0 days 00:00:00.085247,0.009230285732511095,0.0005247350629775521,0.0027626415918901416,poly,0.7831300014397727,0.2210310646555198,1.3164335254203936,0.7442178165455485,COMPLETE
85,0.6948697025415557,2025-12-22 01:25:28.089110,2025-12-22 01:25:28.173925,0 days 00:00:00.084815,0.010652063913701711,0.0009509666473996134,0.0011803006766256611,poly,0.9785754589751245,0.08587168364653885,1.4260752595360873,0.6948697025415557,COMPLETE
86,0.6875088016784014,2025-12-22 01:25:28.174014,2025-12-22 01:25:28.262178,0 days 00:00:00.088164,0.003263141622966786,0.00017189966206769045,0.007558334762846789,poly,0.7709725066105177,0.20305815319526066,1.331533754973322,0.6875088016784014,COMPLETE
87,0.4631880747454486,2025-12-22 01:25:28.262263,2025-12-22 01:25:28.365345,0 days 00:00:00.103082,14.448845273750589,0.00048007022410747485,0.0034111734589855895,poly,0.9265043130846408,0.08699036940031213,1.4252023960509845,0.4631880747454486,COMPLETE
88,0.6946184998178918,2025-12-22 01:25:28.365434,2025-12-22 01:25:28.450451,0 days 00:00:00.085017,0.02396217716291864,0.00030917983687107643,0.0009018180228624798,poly,0.9783106584013196,0.0861495602110357,1.4258584940087191,0.6946184998178918,COMPLETE
89,-0.06010025163661107,2025-12-22 01:25:28.450535,2025-12-22 01:25:28.544775,0 days 00:00:00.094240,0.0166516211107494,0.0006598407896236065,0.029083294550330263,sigmoid,1.190675624024624,-0.20508572659821978,1.6373737960301644,-0.06010025163661107,COMPLETE
90,0.6612349799625449,2025-12-22 01:25:28.544860,2025-12-22 01:25:28.637915,0 days 00:00:00.093055,0.004640004100340391,0.0012255220187535835,,linear,0.7963205829643525,0.1423403916060152,1.3813264988174945,0.6612349799625449,COMPLETE
91,0.697937020009453,2025-12-22 01:25:28.637999,2025-12-22 01:25:28.723348,0 days 00:00:00.085349,0.008924600085047833,0.0004158101850398815,0.001915281309323465,poly,0.8388713753612551,0.18632388984848225,1.3454409664296718,0.697937020009453,COMPLETE
92,0.6788423077119937,2025-12-22 01:25:28.723434,2025-12-22 01:25:28.810092,0 days 00:00:00.086658,0.044614710673877796,0.0005510496496202883,0.002441619878824117,poly,0.7918973868141728,0.19150801715620425,1.341148052791221,0.6788423077119937,COMPLETE
93,0.7445483464451065,2025-12-22 01:25:28.810181,2025-12-22 01:25:28.895320,0 days 00:00:00.085139,0.002422629598595752,0.0020846576453669705,0.004298125418429914,poly,0.7831783187705321,0.2212490465295156,1.3162493212038737,0.7445483464451065,COMPLETE
94,0.7437385481911898,2025-12-22 01:25:28.895404,2025-12-22 01:25:28.980025,0 days 00:00:00.084621,0.001989483758080557,0.008780027397178973,0.004643061521605747,poly,0.7837653711768101,0.2214586172326769,1.3160722004854615,0.7437385481911898,COMPLETE
95,0.6779399610862007,2025-12-22 01:25:28.980117,2025-12-22 01:25:29.069070,0 days 00:00:00.088953,0.0025856265206286493,0.01180388392720872,0.010970361241881627,poly,0.7793882165590189,0.1955256649963274,1.3378116120092793,0.6779399610862007,COMPLETE
96,0.7444756298672038,2025-12-22 01:25:29.069159,2025-12-22 01:25:29.154004,0 days 00:00:00.084845,0.0021228207025773055,0.003876803218931455,0.004503722066930197,poly,0.7834457521727551,0.2211490386851046,1.3163338354062826,0.7444756298672038,COMPLETE
97,0.7122687964542831,2025-12-22 01:25:29.154093,2025-12-22 01:25:29.239317,0 days 00:00:00.085224,0.0036252790917066647,0.00485505786532172,0.004504157422430179,poly,0.7882911837012541,0.20781737320467197,1.3275519390649393,0.7122687964542831,COMPLETE
98,0.7453151758120808,2025-12-22 01:25:29.239411,2025-12-22 01:25:29.324003,0 days 00:00:00.084592,0.001032232846159011,0.007345169430195156,0.005086083170887556,poly,0.7893985236849124,0.2179212458639459,1.3190586570229799,0.7453151758120808,COMPLETE
99,0.46745521574874094,2025-12-22 01:25:29.324096,2025-12-22 01:25:29.421230,0 days 00:00:00.097134,0.001136232241250807,0.009298970551832274,0.06830444503589804,poly,0.9257590844700184,0.08416991854762945,1.4274020517611392,0.46745521574874094,COMPLETE
100,0.34951884228749036,2025-12-22 01:25:29.421315,2025-12-22 01:25:29.541006,0 days 00:00:00.119691,0.0016821055193426463,0.007999011110822058,0.014897578620683222,rbf,1.0807321399753018,-0.006664705130306148,1.4965157279932957,0.34951884228749036,COMPLETE
101,0.7064085013351218,2025-12-22 01:25:29.541100,2025-12-22 01:25:29.626220,0 days 00:00:00.085120,0.003966742420818068,0.004534838497677365,0.0043958936128753925,poly,0.7884293756772028,0.20713725907006186,1.3281216897142754,0.7064085013351218,COMPLETE
102,0.6816022323733021,2025-12-22 01:25:29.626304,2025-12-22 01:25:29.711860,0 days 00:00:00.085556,0.001982394419677347,0.0035862107154461817,0.006511723797311028,poly,0.7940315137920174,0.19299262144896567,1.339916136412936,0.6816022323733021,COMPLETE
103,0.4695871336008893,2025-12-22 01:25:29.711946,2025-12-22 01:25:29.808084,0 days 00:00:00.096138,0.0013228058654459558,0.01570171364786658,0.2735982484791366,poly,0.925456893163333,0.08149829594410718,1.429482515473709,0.4695871336008893,COMPLETE
