number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,params_max_iter,params_selection,params_tol,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
109,0.4451953338677745,2025-12-22 13:03:59.656418,2025-12-22 13:04:02.903315,0 days 00:00:03.246897,0.014123675396381957,0.04408389820867534,17138,random,0.0003669113886705106,0.7548469305038452,0.06727701425552368,1.0823885202407837,0.4451953338677745,COMPLETE
110,0.43790743018294226,2025-12-22 13:04:02.903465,2025-12-22 13:04:06.313299,0 days 00:00:03.409834,0.013874436124966425,5.7106097002108946e-05,16884,random,0.0006852944550219092,0.7642642855644226,0.05103975534439087,1.0917692184448242,0.43790743018294226,COMPLETE
111,0.4417559498865555,2025-12-22 13:04:06.313448,2025-12-22 13:04:09.072105,0 days 00:00:02.758657,0.020823082773751257,0.040227782664913524,16724,random,0.00033296950810585054,0.7530577182769775,0.06744581460952759,1.0822906494140625,0.4417559498865555,COMPLETE
112,0.4250880161576083,2025-12-22 13:04:09.072245,2025-12-22 13:04:10.711526,0 days 00:00:01.639281,0.036019782450154296,0.044647835020151884,6735,random,0.0006496538236312194,0.7547503709793091,0.05644714832305908,1.0886542797088623,0.4250880161576083,COMPLETE
113,0.3882143547104466,2025-12-22 13:04:10.711667,2025-12-22 13:04:11.260896,0 days 00:00:00.549229,0.192575828969494,0.022197400789958258,18464,random,0.0003995729346682717,0.7570458054542542,0.054621994495391846,1.0897066593170166,0.3882143547104466,COMPLETE
114,0.4455062816430638,2025-12-22 13:04:11.261010,2025-12-22 13:04:16.056819,0 days 00:00:04.795809,0.011191171370923063,0.06116724010057155,17984,random,0.00011224737218552612,0.7555854916572571,0.06713676452636719,1.0824699401855469,0.4455062816430638,COMPLETE
115,0.39350522963497286,2025-12-22 13:04:16.056962,2025-12-22 13:04:17.094872,0 days 00:00:01.037910,0.08002655426175341,0.06386895723576926,18138,random,0.0002900112973188023,0.7608315348625183,0.05069994926452637,1.0919647216796875,0.39350522963497286,COMPLETE
116,0.44186692304088276,2025-12-22 13:04:17.094992,2025-12-22 13:04:19.808595,0 days 00:00:02.713603,0.011221707003113294,0.08857227702997317,18818,random,0.0012862689822783443,0.7564183473587036,0.06451284885406494,1.0839911699295044,0.44186692304088276,COMPLETE
117,0.42375547238630223,2025-12-22 13:04:19.808743,2025-12-22 13:04:27.057519,0 days 00:00:07.248776,0.0030881705388397396,0.9119559940833921,17373,random,0.00015383549727230304,0.7667732238769531,0.045178890228271484,1.0951354503631592,0.42375547238630223,COMPLETE
118,0.37738894386506566,2025-12-22 13:04:27.057677,2025-12-22 13:04:28.920286,0 days 00:00:01.862609,0.029410500229496216,0.4525950013496526,17866,random,0.00010297739344992439,0.7655572295188904,0.0544893741607666,1.0897830724716187,0.37738894386506566,COMPLETE
