number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_layers,params_lr,params_nhead,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
45,0.6989540700313468,2025-12-21 17:46:12.287278,2025-12-21 17:49:43.323953,0 days 00:03:31.036675,64,128,0.39027751249647763,256,3,3.2211801566189705e-05,4,0.00010785482219856699,0.7462863321047426,0.6989540700313468,0.3463657796382904,PRUNED
46,0.7022522522517679,2025-12-21 17:49:43.324128,2025-12-21 17:53:11.167569,0 days 00:03:27.843441,32,384,0.2799290613619103,1536,1,9.375237627295718e-05,4,0.000521575766622125,0.7539949752285107,0.7022522522517679,0.27563023567199707,PRUNED
47,0.743264659270499,2025-12-21 17:53:11.167741,2025-12-21 18:45:37.459816,0 days 00:52:26.292075,16,128,0.13535150958426817,1024,3,0.0001586670405739049,8,0.0014085084439159712,0.796399412954467,0.7270094134680081,0.1346549242734909,COMPLETE
48,0.7106176266476729,2025-12-21 18:45:37.460091,2025-12-21 18:49:08.873900,0 days 00:03:31.413809,32,256,0.49435117973674336,512,3,5.513328634463689e-05,4,2.2954928013085357e-05,0.7606239032537686,0.7106176266476729,0.3799343407154083,PRUNED
49,0.70593649332671,2025-12-21 18:49:08.874082,2025-12-21 18:52:38.482468,0 days 00:03:29.608386,16,128,0.2397920710411263,1536,4,0.00032679803512951724,4,8.267919399221203e-06,0.7532975796998292,0.70593649332671,0.4307439625263214,PRUNED
50,0.7035998129962381,2025-12-21 18:52:38.482639,2025-12-21 18:56:06.360095,0 days 00:03:27.877456,32,128,0.44050955370953865,1024,1,0.00011769497682927827,8,0.004546953232923941,0.7544040160585965,0.7035998129962381,0.2608737647533417,PRUNED
51,0.7285780453908968,2025-12-21 18:56:06.360272,2025-12-21 19:03:04.731645,0 days 00:06:58.371373,32,128,0.32067194278126165,256,3,0.0008353089839642056,8,0.00014281951905787709,0.7921723151299886,0.7285780453908968,0.3785514831542969,PRUNED
52,0.6662103582016584,2025-12-21 19:03:04.731823,2025-12-21 19:06:34.881893,0 days 00:03:30.150070,32,128,0.2877357034439428,256,3,0.0014926417712729202,8,6.145681029708727e-05,0.6847643008661212,0.6662103582016584,0.39478254318237305,PRUNED
53,0.7402723735403622,2025-12-21 19:06:34.882072,2025-12-21 19:44:49.230329,0 days 00:38:14.348257,32,128,0.19365146293363147,256,3,0.00047933064478890026,8,0.00128476087053782,0.7923320554110846,0.7219302436688821,0.17493176460266113,COMPLETE
54,0.7381870781094395,2025-12-21 19:44:49.230598,2025-12-21 19:55:11.290155,0 days 00:10:22.059557,32,128,0.2643807186941495,256,3,0.0002547633510961821,8,0.0004713790829372319,0.8120919869106934,0.7381870781094395,0.44846203923225403,PRUNED
55,0.6948377259851448,2025-12-21 19:55:11.290331,2025-12-21 19:58:38.819942,0 days 00:03:27.529611,32,128,0.31091372878030926,512,2,1.7130956789045335e-05,4,4.122471997584035e-05,0.7418984662583893,0.6948377259851448,0.3823419213294983,PRUNED
56,0.7053694355203941,2025-12-21 19:58:38.820118,2025-12-21 20:02:08.345164,0 days 00:03:29.525046,16,256,0.3353921674257606,1536,3,0.00019738383867161914,8,9.713118560227151e-05,0.756765470728768,0.7053694355203941,0.4041120409965515,PRUNED
57,0.7432950191565902,2025-12-21 20:02:08.345343,2025-12-21 20:50:50.209324,0 days 00:48:41.863981,32,384,0.23111063641574303,1024,3,0.00012914249886197737,4,3.631069710702993e-08,0.795030021776359,0.7323330106481029,0.11581558734178543,COMPLETE
58,0.7076496417836582,2025-12-21 20:50:50.209581,2025-12-21 20:54:17.983709,0 days 00:03:27.774128,16,128,0.3844523719748214,512,2,8.593993968865529e-05,8,1.0418918257421914e-05,0.7559309452161309,0.7076496417836582,0.4246775507926941,PRUNED
59,0.7053941908708816,2025-12-21 20:54:17.983889,2025-12-21 20:57:46.634107,0 days 00:03:28.650218,32,256,0.471954022709186,256,3,3.684864176638054e-05,4,0.00017272259044764915,0.7559970142662165,0.7053941908708816,0.4168795943260193,PRUNED
60,0.7012805587888009,2025-12-21 20:57:46.634294,2025-12-21 21:01:16.856836,0 days 00:03:30.222542,64,128,0.0006170167627277921,1024,3,2.4354983308586957e-05,8,0.009223195595633817,0.7465018640281331,0.7012805587888009,0.4501022696495056,PRUNED
61,0.7014744984283199,2025-12-21 21:01:16.857015,2025-12-21 21:04:44.071179,0 days 00:03:27.214164,32,256,0.261553899780008,512,1,6.16995396714579e-05,8,0.0003502326516706966,0.7529036613412076,0.7014744984283199,0.4163568615913391,PRUNED
62,0.7425460202224726,2025-12-21 21:04:44.071348,2025-12-21 21:46:16.694288,0 days 00:41:32.622940,32,256,0.2798494075910212,512,2,0.0001018158584468161,8,2.855763735114849e-05,0.7787464968721443,0.7098795180717963,0.04931652918457985,COMPLETE
63,0.7030779912052513,2025-12-21 21:46:16.694536,2025-12-21 21:49:46.117343,0 days 00:03:29.422807,32,256,0.3066997923276427,512,1,0.0001539001208409121,8,0.00021585987025988723,0.7543191540342643,0.7030779912052513,0.34751951694488525,PRUNED
64,0.7475042610172806,2025-12-21 21:49:46.117524,2025-12-21 22:38:21.303617,0 days 00:48:35.186093,32,256,0.3496150876627231,512,2,0.00022282975096420086,8,0.0009426819338535566,0.7952267607255028,0.732488644513015,0.06898544728755951,COMPLETE
65,0.744510978043416,2025-12-21 22:38:21.303863,2025-12-21 23:16:35.890380,0 days 00:38:14.586517,32,256,0.34869102609963276,512,2,0.00022370496794059126,8,0.0007482443643874026,0.7909256655649285,0.7208566561202167,0.17857256531715393,COMPLETE
66,0.7055001160357148,2025-12-21 23:16:35.890636,2025-12-21 23:20:06.348445,0 days 00:03:30.457809,16,256,0.4056309831156871,1536,3,0.0003090092391092234,8,0.0013317481321213057,0.7573343986600609,0.7055001160357148,0.37628236413002014,PRUNED
67,0.7211253701870666,2025-12-21 23:20:06.348630,2025-12-21 23:27:03.097241,0 days 00:06:56.748611,32,256,0.37098985507128823,512,3,0.0003810731476430596,4,7.057751729861243e-05,0.7890644270139607,0.7211253701870666,0.42151522636413574,PRUNED
68,0.7114807114802236,2025-12-21 23:27:03.097418,2025-12-21 23:30:33.407837,0 days 00:03:30.310419,16,384,0.42588329268416986,1024,1,0.00045407377045898604,8,0.005306466107326302,0.7698207150256876,0.7114807114802236,0.28198087215423584,PRUNED
69,0.7351965892936823,2025-12-21 23:30:33.408023,2025-12-21 23:40:55.448955,0 days 00:10:22.040932,32,128,0.31705089829159616,256,2,0.0001812984114671814,4,1.4493315279025287e-05,0.8094612641563951,0.7351965892936823,0.30600506067276,PRUNED
70,0.7304136253036424,2025-12-21 23:40:55.449135,2025-12-21 23:47:50.646914,0 days 00:06:55.197779,16,256,0.4477117672426003,1024,3,0.00026601237515315115,8,0.002542433374061956,0.8025524969989969,0.7304136253036424,0.38053762912750244,PRUNED
71,0.7469166255545122,2025-12-21 23:47:50.647103,2025-12-22 00:29:32.166052,0 days 00:41:41.518949,32,256,0.3026711941241387,512,2,0.00011520513662278696,8,0.00046942836136757327,0.7989667094206832,0.7291719745217955,0.18201033771038055,COMPLETE
72,0.711942711942224,2025-12-22 00:29:32.166303,2025-12-22 00:32:59.502120,0 days 00:03:27.335817,32,256,0.3008775526667927,512,2,7.435237531740588e-05,8,0.0008652515960095571,0.7620636212651899,0.711942711942224,0.43005260825157166,PRUNED
73,0.7302761341217928,2025-12-22 00:32:59.502297,2025-12-22 00:39:56.684075,0 days 00:06:57.181778,32,256,0.3420357268757621,512,2,0.00011902925524372298,8,0.00044860961403770565,0.7955673833837221,0.7302761341217928,0.447959840297699,PRUNED
74,0.7441860465111333,2025-12-22 00:39:56.684259,2025-12-22 01:24:52.539136,0 days 00:44:55.854877,32,256,0.2492319298410245,512,3,0.00014631985133654296,8,0.00025451158630458064,0.7945198218895866,0.7231075697206195,0.2686135470867157,COMPLETE
75,0.732706676307051,2025-12-22 01:24:52.539386,2025-12-22 01:31:50.770102,0 days 00:06:58.230716,32,256,0.27588308038304254,512,2,0.0007614832020036448,8,0.0001040956562578312,0.7985876198933028,0.732706676307051,0.3366965055465698,PRUNED
76,0.7000907441011479,2025-12-22 01:31:50.770286,2025-12-22 01:35:22.540170,0 days 00:03:31.769884,64,256,0.32640447507919035,1536,1,4.692656136842279e-05,8,3.9929024209946985e-05,0.7482249448543662,0.7000907441011479,0.35599344968795776,PRUNED
