number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_huber_delta,params_loss,params_lr,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
54,0.6115695572549764,2025-12-22 01:03:12.572187,2025-12-22 01:03:16.405042,0 days 00:00:03.832855,16,0.4469610202583043,512,,mse,7.739294487425868e-05,1.8013234797895328e-08,2.3267340660095215,-2.165226936340332,2.6536355018615723,0.6115695572549764,PRUNED
55,0.6206558241938228,2025-12-22 01:03:16.405203,2025-12-22 01:03:19.958769,0 days 00:00:03.553566,16,0.41347804841852787,1024,,mse,0.00016803860117107133,9.146099467852791e-07,0.8385183811187744,0.27532345056533813,1.2697287797927856,0.6206558241938228,PRUNED
56,0.6147062860017808,2025-12-22 01:03:19.958921,2025-12-22 01:03:24.870630,0 days 00:00:04.911709,32,0.31312050040995765,512,,mse,0.0002168895803615309,0.0004300340794439381,0.9091413617134094,0.17155349254608154,1.3575977087020874,0.6147062860017808,PRUNED
57,0.4485026313080916,2025-12-22 01:03:24.870787,2025-12-22 01:03:28.697397,0 days 00:00:03.826610,16,0.11972128231183136,256,3.6953338277413916,huber,0.0012884431681860532,0.0046109369851568835,0.9871313571929932,-0.12444519996643066,1.5816413164138794,0.4485026313080916,PRUNED
58,0.4857599615862569,2025-12-22 01:03:28.697552,2025-12-22 01:03:32.264735,0 days 00:00:03.567183,32,0.15425196540978914,1024,,mse,0.00171044535326058,1.6557864944647814e-09,0.9402430057525635,0.1734699010848999,1.3560266494750977,0.4857599615862569,PRUNED
59,0.5938895129276248,2025-12-22 01:03:32.264885,2025-12-22 01:03:35.859954,0 days 00:00:03.595069,16,0.23585331000888343,2048,,mse,2.1747925978724745e-05,3.6866213646189696e-09,3.713148355484009,-6.020658493041992,3.952098846435547,0.5938895129276248,PRUNED
60,0.622129987545851,2025-12-22 01:03:35.860113,2025-12-22 01:03:39.348344,0 days 00:00:03.488231,32,0.018591468897848844,512,1.7978399242753245,huber,0.00013314916813352953,0.00015705327124006742,1.9990946054458618,-1.5120959281921387,2.3640518188476562,0.622129987545851,PRUNED
61,0.6299833779593463,2025-12-22 01:03:39.348497,2025-12-22 01:03:43.294048,0 days 00:00:03.945551,16,0.3006489961768187,512,,mse,0.0002817289250457789,0.0006884938320263466,0.8539180159568787,0.09207284450531006,1.4212299585342407,0.6299833779593463,PRUNED
62,0.6140848897906119,2025-12-22 01:03:43.294224,2025-12-22 01:03:47.263654,0 days 00:00:03.969430,16,0.2686186934027076,512,,mse,0.0002452544063599349,0.0012731971415158394,0.8287386298179626,0.1754516363143921,1.3543999195098877,0.6140848897906119,PRUNED
63,0.5618710815574521,2025-12-22 01:03:47.263811,2025-12-22 01:03:51.613520,0 days 00:00:04.349709,16,0.336666397842664,512,,mse,0.0025044826339102495,0.002465343607421233,0.8628616333007812,0.08830410242080688,1.424176573753357,0.5618710815574521,PRUNED
64,0.589972733617864,2025-12-22 01:03:51.613674,2025-12-22 01:03:55.581415,0 days 00:00:03.967741,16,0.28331111248247454,512,,mse,0.00033390986111103205,1.6055316343671952e-05,0.9938675761222839,-0.13761913776397705,1.5908796787261963,0.589972733617864,PRUNED
65,0.5929342815179026,2025-12-22 01:03:55.581572,2025-12-22 01:03:58.742138,0 days 00:00:03.160566,64,0.30483438408950725,512,,mse,0.00019763594118679843,6.804642229102572e-05,3.392360210418701,-4.989169120788574,3.6502463817596436,0.5929342815179026,PRUNED
66,0.491316169197825,2025-12-22 01:03:58.742299,2025-12-22 01:04:02.211621,0 days 00:00:03.469322,16,0.3621348140048248,256,,mse,0.001122371019609748,2.1665512148182897e-06,0.9540636539459229,0.1592227816581726,1.3676637411117554,0.491316169197825,PRUNED
67,0.5884556013788931,2025-12-22 01:04:02.211772,2025-12-22 01:04:05.777254,0 days 00:00:03.565482,16,0.387235566009593,1024,3.0170325161203517,huber,0.0007684189400971971,0.0006278568561692781,0.8418906331062317,0.087801992893219,1.424568772315979,0.5884556013788931,PRUNED
68,0.16229679128091495,2025-12-22 01:04:05.777407,2025-12-22 01:04:09.225109,0 days 00:00:03.447702,32,0.24536246985498014,2048,,mse,0.0004948723779096364,4.554384984168335e-10,1.180112361907959,-0.4328782558441162,1.7854328155517578,0.16229679128091495,PRUNED
69,0.5899826495148507,2025-12-22 01:04:09.225267,2025-12-22 01:04:13.002708,0 days 00:00:03.777441,16,0.3166718590208664,512,2.2517260143453086,huber,7.17732683134521e-05,5.490846884089293e-08,2.1716957092285156,-1.8788719177246094,2.530754804611206,0.5899826495148507,PRUNED
70,0.6211185660532038,2025-12-22 01:04:13.002860,2025-12-22 01:04:17.281266,0 days 00:00:04.278406,32,0.2849131152765744,2048,,mse,9.463214558577836e-05,0.00763963962948051,1.2681187391281128,-0.3879251480102539,1.7572028636932373,0.6211185660532038,PRUNED
71,0.4737451997373276,2025-12-22 01:04:17.281417,2025-12-22 01:04:20.957309,0 days 00:00:03.675892,16,0.20041942444378213,256,,mse,1.3348752860775844e-05,4.0487875567828524e-07,5.385919094085693,-12.983467102050781,5.5775861740112305,0.4737451997373276,PRUNED
72,0.5945902363146877,2025-12-22 01:04:20.957467,2025-12-22 01:04:24.689210,0 days 00:00:03.731743,16,0.2706370264563458,256,,mse,4.53167196774408e-05,3.988629730241589e-06,4.267925262451172,-8.049201965332031,4.486875057220459,0.5945902363146877,PRUNED
73,0.5405915666239152,2025-12-22 01:04:24.689400,2025-12-22 01:04:27.973013,0 days 00:00:03.283613,16,0.25262969355289006,256,,mse,2.2966948156610368e-05,0.0027280798172489777,4.890812397003174,-10.676763534545898,5.096829414367676,0.5405915666239152,PRUNED
74,0.431701796513564,2025-12-22 01:04:27.973178,2025-12-22 01:04:31.988006,0 days 00:00:04.014828,16,0.21750358611051196,256,1.3141307230147021,huber,0.0009771251952975576,0.0005422747087328239,0.9373831748962402,-0.02807796001434326,1.5123485326766968,0.431701796513564,PRUNED
75,0.5567445628153093,2025-12-22 01:04:31.988220,2025-12-22 01:04:35.807291,0 days 00:00:03.819071,32,0.3479677116005348,1024,,mse,1.4777923061596328e-05,0.0002092368223744082,5.194871425628662,-12.066929817199707,5.391699314117432,0.5567445628153093,PRUNED
76,0.6129181192451725,2025-12-22 01:04:35.807453,2025-12-22 01:04:38.867088,0 days 00:00:03.059635,64,0.22430316293363478,256,4.950414094185999,huber,0.0016714946741563286,1.189446265673362e-10,0.8945414423942566,0.28777772188186646,1.2587707042694092,0.6129181192451725,PRUNED
77,0.3047981468773079,2025-12-22 01:04:38.867251,2025-12-22 01:04:42.683672,0 days 00:00:03.816421,16,0.32625936227812313,2048,,mse,0.0005648511335929258,0.00010125501281127383,0.9476645588874817,-0.003686070442199707,1.4943000078201294,0.3047981468773079,PRUNED
78,0.6008802203032743,2025-12-22 01:04:42.683822,2025-12-22 01:04:46.210295,0 days 00:00:03.526473,32,0.29507783180353825,1024,1.0150796288789887,huber,0.00036223764829532796,0.0018992834241032296,1.0224523544311523,-0.16624867916107178,1.6107734441757202,0.6008802203032743,PRUNED
79,0.6155557478436445,2025-12-22 01:04:46.210452,2025-12-22 01:04:50.597299,0 days 00:00:04.386847,16,0.3119847698213273,256,,mse,0.0001373235741753714,0.004656646896575973,1.0238826274871826,-0.023131489753723145,1.508705973625183,0.6155557478436445,PRUNED
80,0.3333625407971007,2025-12-22 01:04:50.597465,2025-12-22 01:04:53.759509,0 days 00:00:03.162044,32,0.2778513295728535,2048,4.263735698714222,huber,0.00043597669416816514,1.0302442515028783e-05,1.2816498279571533,-0.5716149806976318,1.8698723316192627,0.3333625407971007,PRUNED
81,0.6196047391132287,2025-12-22 01:04:53.759662,2025-12-22 01:04:57.547835,0 days 00:00:03.788173,64,0.041813718896575966,1024,2.8457022597501282,huber,2.1944924993460478e-05,4.726036601259003e-05,5.247646808624268,-12.32461166381836,5.444602012634277,0.6196047391132287,PRUNED
82,0.5906040457260194,2025-12-22 01:04:57.547989,2025-12-22 01:05:01.315588,0 days 00:00:03.767599,64,0.006132882946523116,1024,4.182017686570223,huber,5.762539864245118e-05,0.0002622910149565643,4.730072975158691,-9.950151443481445,4.935701847076416,0.5906040457260194,PRUNED
83,0.6126999695114643,2025-12-22 01:05:01.315746,2025-12-22 01:05:04.503687,0 days 00:00:03.187941,64,0.03938798390261603,1024,3.6149221486976186,huber,6.561977893918304e-05,0.0009210130348507377,4.660645484924316,-9.650412559509277,4.86768102645874,0.6126999695114643,PRUNED
84,0.6083138377443311,2025-12-22 01:05:04.503847,2025-12-22 01:05:07.726956,0 days 00:00:03.223109,64,0.07931698818837972,1024,0.5802502929020771,huber,0.00010019183471922782,0.0003389114537449371,4.026315212249756,-7.1407060623168945,4.2556891441345215,0.6083138377443311,PRUNED
85,0.6159986579090521,2025-12-22 01:05:07.727106,2025-12-22 01:05:10.910396,0 days 00:00:03.183290,16,0.1081033700092261,512,2.7003872788084897,huber,0.0002384521527526564,2.3003222929572018e-07,0.9155765771865845,-0.014546394348144531,1.502362847328186,0.6159986579090521,PRUNED
86,0.5989631468858384,2025-12-22 01:05:10.910548,2025-12-22 01:05:14.213907,0 days 00:00:03.303359,32,0.24510088095070512,1024,,mse,2.8244432559324594e-05,3.633783094224974e-05,4.78286075592041,-10.176471710205078,4.986447334289551,0.5989631468858384,PRUNED
87,0.36657087980568187,2025-12-22 01:05:14.214061,2025-12-22 01:05:17.807774,0 days 00:00:03.593713,64,0.4591741491471807,2048,1.6020651564608523,huber,0.0019423625966743852,0.00016626301344909464,0.9434316158294678,-0.03352832794189453,1.5163520574569702,0.36657087980568187,PRUNED
88,0.6213267998899252,2025-12-22 01:05:17.807925,2025-12-22 01:05:21.915580,0 days 00:00:04.107655,16,0.3783651020749065,256,,mse,0.0001831446746231746,5.0630856415371804e-06,0.892984926700592,0.29029393196105957,1.2565451860427856,0.6213267998899252,PRUNED
89,0.48920408313965014,2025-12-22 01:05:21.915741,2025-12-22 01:05:25.646191,0 days 00:00:03.730450,32,0.2633055877679298,512,3.174714362233787,huber,0.0012926682952113984,0.0015421579029059062,1.6045758724212646,-0.3723503351211548,1.7473156452178955,0.48920408313965014,PRUNED
90,0.6105812728552983,2025-12-22 01:05:25.646352,2025-12-22 01:05:30.386577,0 days 00:00:04.740225,16,0.4083425254891033,1024,,mse,4.464697415755938e-05,8.916711790597663e-09,2.9329071044921875,-3.654855728149414,3.2180440425872803,0.6105812728552983,PRUNED
91,0.25961470960774435,2025-12-22 01:05:30.386734,2025-12-22 01:05:34.630992,0 days 00:00:04.244258,64,0.01676110685385862,512,,mse,0.0026420017504570916,0.0010748317213558384,1.0603927373886108,-0.20070791244506836,1.634397029876709,0.25961470960774435,PRUNED
92,0.6080824668146406,2025-12-22 01:05:34.631145,2025-12-22 01:05:38.043180,0 days 00:00:03.412035,64,0.0017732501175409653,512,,mse,0.0014161458255450479,0.0034141649674704257,1.045632243156433,-0.1754094362258911,1.6170872449874878,0.6080824668146406,PRUNED
93,0.3120830258635638,2025-12-22 01:05:38.043339,2025-12-22 01:05:42.111975,0 days 00:00:04.068636,64,0.026470384922816254,512,,mse,0.0018915883980254618,0.005663778854210931,1.5055407285690308,-0.8836185932159424,2.0470826625823975,0.3120830258635638,PRUNED
94,0.6181140492662226,2025-12-22 01:05:42.112131,2025-12-22 01:05:45.595011,0 days 00:00:03.482880,64,0.05850054329062865,512,,mse,0.00026379679123475497,1.3024026164798e-06,2.7140889167785645,-3.0506811141967773,3.001946210861206,0.6181140492662226,PRUNED
95,0.622906732809812,2025-12-22 01:05:45.595183,2025-12-22 01:05:49.143897,0 days 00:00:03.548714,32,0.03148237886025827,2048,,mse,0.00014929180051232013,0.0005175373910684226,1.156670093536377,0.15024054050445557,1.3749499320983887,0.622906732809812,PRUNED
