number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
59,0.8869565217386313,2025-12-18 14:22:21.640728,2025-12-18 14:22:24.121388,0 days 00:00:02.480660,0.001236118471826452,0.9125199719712469,168,0.35759170099447257,13.30630615179668,0.005870988890486961,11,1,590,0.7699031393176026,0.9446548828943105,0.9519694384689563,0.42167773842811584,COMPLETE
60,0.8747152619584977,2025-12-18 14:22:24.121625,2025-12-18 14:22:25.918228,0 days 00:00:01.796603,0.0015035144930233366,0.9263459371017293,185,0.016874416951004,12.290139985469,0.0024956601554260993,11,4,597,0.7794352296675326,0.9348388072650322,0.9418626214672502,0.5093887448310852,COMPLETE
61,0.8583877995637706,2025-12-18 14:22:25.918465,2025-12-18 14:22:26.698027,0 days 00:00:00.779562,0.001260281676127572,0.9990817889839054,169,1.372912075147248,13.864019585995019,0.0062760593507178684,12,77,800,0.7630918115807603,0.9119286151708109,0.9291410132779468,0.4190789461135864,COMPLETE
62,0.8496732026138797,2025-12-18 14:22:26.698272,2025-12-18 14:22:27.446958,0 days 00:00:00.748686,0.0005056649873280869,0.7772065305936354,175,0.8128109242129247,2.064914359625848,0.003171474206347158,12,50,571,0.8134838096407137,0.9142938280136692,0.927768711519917,0.4485018849372864,COMPLETE
63,0.8717948717943722,2025-12-18 14:22:27.447191,2025-12-18 14:22:28.877758,0 days 00:00:01.430567,0.00012428460470156126,0.9924582956654228,163,1.8667292117801844,7.534848612657975,0.005541504419984754,11,12,679,0.7209384813892359,0.9386355641290459,0.9472220161709072,0.5563467741012573,COMPLETE
64,0.8827292110869217,2025-12-18 14:22:28.877985,2025-12-18 14:22:30.628986,0 days 00:00:01.751001,4.309822627623661e-05,0.7234785370536266,189,2.3722948737698464,3.8161582846201387,0.0037859637459860844,15,1,487,0.7703852794015436,0.9436424142030146,0.9511163860247757,0.4211214482784271,COMPLETE
65,0.8733031674203144,2025-12-18 14:22:30.629222,2025-12-18 14:22:31.722059,0 days 00:00:01.092837,0.0020497101287543455,0.8899722065704145,176,0.40668354417558383,22.55974453943876,0.008899496448396165,14,20,757,0.7050727304913827,0.9352884685585826,0.9448668496402344,0.5012037754058838,COMPLETE
66,0.8615384615379619,2025-12-18 14:22:31.722292,2025-12-18 14:22:32.472469,0 days 00:00:00.750177,0.00027528488043330004,0.8358400602790597,167,1.6407355992953034,0.9138150790583655,0.00467594986819511,13,44,567,0.8084841971619681,0.9201955598539665,0.9337400786291818,0.4419263005256653,COMPLETE
67,0.8688172043005764,2025-12-18 14:22:32.472700,2025-12-18 14:22:33.359292,0 days 00:00:00.886592,0.008910518845079374,0.9735872405649885,193,1.1595721758760904,0.1619594770460001,0.010290684952858136,10,73,930,0.8335836622689689,0.921170631468542,0.9357985312662266,0.4224449694156647,COMPLETE
68,0.8784648187628279,2025-12-18 14:22:33.359526,2025-12-18 14:22:34.614399,0 days 00:00:01.254873,0.023807104278836283,0.8046241859797983,180,2.2810331092549587,0.025167549118333438,0.007862972016094266,12,15,717,0.7540272220128138,0.9456322653903256,0.9533046509902826,0.34398511052131653,COMPLETE
