number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_huber_delta,params_loss,params_lr,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
61,0.35532453829363864,2025-12-21 10:31:55.439152,2025-12-21 10:32:47.000860,0 days 00:00:51.561708,32,0.2946739788975663,256,0.7745459590377802,huber,0.0017135329525528363,1.0182734305027539e-06,0.8486817479133606,-0.2414720058441162,1.2487494945526123,0.35532453829363864,PRUNED
62,0.46517259557233426,2025-12-21 10:32:47.001027,2025-12-21 10:44:38.039034,0 days 00:11:51.038007,32,0.2749885502842867,256,0.5934856775806467,huber,0.0021872121938781757,6.170742785169737e-07,0.7135060429573059,0.05378156900405884,1.0901908874511719,0.4548176699372252,COMPLETE
63,0.2983754521728951,2025-12-21 10:44:38.039262,2025-12-21 10:44:59.153993,0 days 00:00:21.114731,32,0.19911153600622758,256,0.7282638497169079,huber,0.0010622015979686013,0.0002648374939589186,0.8110237717628479,-0.11059212684631348,1.1810930967330933,0.2983754521728951,PRUNED
64,0.36414793326002826,2025-12-21 10:44:59.154159,2025-12-21 10:45:42.557391,0 days 00:00:43.403232,32,0.0546919160567219,256,1.5301882136411724,huber,0.0007399094326275209,4.170941751683108e-06,0.7628014087677002,0.028402209281921387,1.1047146320343018,0.36414793326002826,PRUNED
65,0.042560989175829955,2025-12-21 10:45:42.557560,2025-12-21 10:46:03.532738,0 days 00:00:20.975178,32,0.23165702328141236,256,,mse,1.006959503329727e-05,1.0598956622338028e-05,4.023982524871826,-12.899617195129395,4.1783833503723145,0.042560989175829955,PRUNED
66,0.3725710888205653,2025-12-21 10:46:03.532904,2025-12-21 10:47:31.249903,0 days 00:01:27.716999,32,0.02106449530417623,2048,2.0183119044118776,huber,0.0028713320553479336,2.227357166615428e-05,0.7653573751449585,0.014399409294128418,1.1126468181610107,0.3725710888205653,PRUNED
67,0.33429061963855405,2025-12-21 10:47:31.250078,2025-12-21 10:47:55.333310,0 days 00:00:24.083232,16,0.13257868736218584,256,0.5766671913919887,huber,0.001254433573561963,1.4649601950247688e-06,0.9261974096298218,-0.42660772800445557,1.3386256694793701,0.33429061963855405,PRUNED
68,0.06973120963314332,2025-12-21 10:47:55.333488,2025-12-21 10:48:18.331728,0 days 00:00:22.998240,64,0.11045613186811896,2048,,mse,6.903151419888572e-05,1.79346437505256e-08,0.8999618887901306,-0.19499528408050537,1.2251518964767456,0.06973120963314332,PRUNED
69,0.4253471057632277,2025-12-21 10:48:18.331892,2025-12-21 10:53:37.476694,0 days 00:05:19.144802,16,0.08701283720420924,256,1.680799551301395,huber,0.001867307262806265,8.918318733917236e-08,0.8060503602027893,0.0004082322120666504,1.120516300201416,0.4253471057632277,PRUNED
70,0.24356594267892578,2025-12-21 10:53:37.476864,2025-12-21 10:54:00.823560,0 days 00:00:23.346696,32,0.18022070989600847,512,4.8189350205103105,huber,0.0002310468708557309,2.2860299306108804e-07,0.8269415497779846,0.003356635570526123,1.1188626289367676,0.24356594267892578,PRUNED
71,0.3191961018065872,2025-12-21 10:54:00.823726,2025-12-21 10:54:24.552927,0 days 00:00:23.729201,16,0.1534089053767081,1024,2.373304411663035,huber,0.0009872596149934313,1.0000918247905341e-05,0.8053520321846008,-0.08363771438598633,1.1666723489761353,0.3191961018065872,PRUNED
72,0.3124233517526413,2025-12-21 10:54:24.553094,2025-12-21 10:54:47.741361,0 days 00:00:23.188267,16,0.20569265541458479,1024,3.055186433109541,huber,0.00046412926612462925,7.43370560211751e-05,0.8561930060386658,-0.16181671619415283,1.208024263381958,0.3124233517526413,PRUNED
73,0.3284845640954701,2025-12-21 10:54:47.741526,2025-12-21 10:55:12.139418,0 days 00:00:24.397892,16,0.12781988095211191,1024,2.331863917396888,huber,0.0005819718813442643,2.740106352295043e-06,0.7844573855400085,0.030575037002563477,1.1034786701202393,0.3284845640954701,PRUNED
74,0.3195713015279455,2025-12-21 10:55:12.139588,2025-12-21 10:56:05.159500,0 days 00:00:53.019912,16,0.05920138693151387,1024,1.3760846875159483,huber,0.0016294207607561672,4.5250416900384944e-07,0.7911219000816345,-0.008916616439819336,1.1257306337356567,0.3195713015279455,PRUNED
75,0.29046158228659014,2025-12-21 10:56:05.159662,2025-12-21 10:56:28.345227,0 days 00:00:23.185565,16,0.1060463497315941,2048,3.6193667770085542,huber,0.0007898431257187556,1.7797069209026798e-06,0.8005653619766235,0.007854878902435303,1.1163347959518433,0.29046158228659014,PRUNED
76,0.3077602199835345,2025-12-21 10:56:28.345408,2025-12-21 10:56:49.842375,0 days 00:00:21.496967,16,0.2515881570622533,1024,,mse,0.0012916898014420524,0.0008503474997470673,0.8174382448196411,-0.004123568534851074,1.1230534315109253,0.3077602199835345,PRUNED
77,0.3121201923023119,2025-12-21 10:56:49.842541,2025-12-21 10:57:16.262188,0 days 00:00:26.419647,16,0.4629737840755348,2048,2.577517110539939,huber,0.0003663226723156926,0.00016054706029815986,0.7921257019042969,0.029687047004699707,1.1039838790893555,0.3121201923023119,PRUNED
78,0.33766920132767636,2025-12-21 10:57:16.262360,2025-12-21 10:57:59.898996,0 days 00:00:43.636636,32,0.08064004159016688,256,2.0337049465295896,huber,0.0022687975740523663,2.5644305831362822e-05,0.81669020652771,-0.13386809825897217,1.1934057474136353,0.33766920132767636,PRUNED
79,0.35440407874494606,2025-12-21 10:57:59.899167,2025-12-21 10:58:50.569405,0 days 00:00:50.670238,16,0.04113155229507076,2048,1.7846702907485095,huber,0.00022087009562491613,6.832613488373272e-06,0.7636876702308655,0.0010175108909606934,1.120174765586853,0.35440407874494606,PRUNED
80,0.27026494287510805,2025-12-21 10:58:50.569591,2025-12-21 10:59:13.485215,0 days 00:00:22.915624,64,0.15856403265915692,256,,mse,0.0015103949848617705,3.144404754368935e-09,0.8108277916908264,-0.01911306381225586,1.1314048767089844,0.27026494287510805,PRUNED
81,0.3364733480218038,2025-12-21 10:59:13.485392,2025-12-21 10:59:35.676607,0 days 00:00:22.191215,16,0.015138969576948998,1024,1.595746022569391,huber,0.0005129102453291566,3.6447302076758044e-07,0.7833049297332764,0.05326026678085327,1.0904911756515503,0.3364733480218038,PRUNED
82,0.3192725971752916,2025-12-21 10:59:35.676773,2025-12-21 11:00:25.875674,0 days 00:00:50.198901,16,0.03377304650408129,1024,1.451799540566636,huber,0.000870757429502954,3.5404023537016415e-08,0.8125664591789246,-0.09065747261047363,1.1704450845718384,0.3192725971752916,PRUNED
83,0.3097005260516309,2025-12-21 11:00:25.875839,2025-12-21 11:00:48.730930,0 days 00:00:22.855091,16,0.14265274187631297,1024,1.2121849747290023,huber,0.0006606255025500863,9.881726151024572e-09,0.8994215130805969,-0.3195610046386719,1.2874239683151245,0.3097005260516309,PRUNED
84,0.32007738304404315,2025-12-21 11:00:48.731102,2025-12-21 11:01:11.777157,0 days 00:00:23.046055,16,0.11883150575063328,1024,1.0897932524149772,huber,0.0011074858384808165,2.2538744243764384e-07,0.895410418510437,-0.28658735752105713,1.2712368965148926,0.32007738304404315,PRUNED
85,0.3299085113894357,2025-12-21 11:01:11.777322,2025-12-21 11:01:59.910477,0 days 00:00:48.133155,16,0.09684503928084459,1024,1.9244629866954506,huber,0.0008623404915861735,8.663356258727422e-07,0.775740921497345,0.025810182094573975,1.1061872243881226,0.3299085113894357,PRUNED
86,0.29225691956885536,2025-12-21 11:01:59.910649,2025-12-21 11:02:23.661565,0 days 00:00:23.750916,16,0.068745476689174,2048,2.2160250706401166,huber,0.002044406112101028,3.82972007308995e-06,0.9720762968063354,-0.41575872898101807,1.3335260152816772,0.29225691956885536,PRUNED
87,0.5116959731398696,2025-12-21 11:02:23.661732,2025-12-21 11:14:59.340055,0 days 00:12:35.678323,16,0.04070221729032114,256,1.673834104397384,huber,0.0016721740214800896,0.007712423552135229,0.8223036527633667,-0.11079680919647217,1.1812019348144531,0.4849798210489506,COMPLETE
88,0.29828836542622145,2025-12-21 11:14:59.340282,2025-12-21 11:15:22.799590,0 days 00:00:23.459308,32,0.015505456754150467,256,2.910739070890545,huber,0.0025251728692094236,0.00815244928075753,0.817744255065918,-0.08169865608215332,1.1656280755996704,0.29828836542622145,PRUNED
89,0.4418379065665847,2025-12-21 11:15:22.799755,2025-12-21 11:23:37.391435,0 days 00:08:14.591680,16,0.30108798321512625,256,1.692855965259689,huber,0.0015396658336733536,0.0033588364389591464,0.7274658679962158,0.0026552677154541016,1.1192561388015747,0.4418379065665847,PRUNED
90,0.2494077646826398,2025-12-21 11:23:37.391614,2025-12-21 11:23:59.347575,0 days 00:00:21.955961,16,0.004828765432608129,256,,mse,0.00015756152542672664,0.0020320233541964742,0.823198676109314,-0.07979357242584229,1.1646010875701904,0.2494077646826398,PRUNED
91,0.4989071312379737,2025-12-21 11:23:59.347742,2025-12-21 11:40:38.227850,0 days 00:16:38.880108,16,0.0422865929541119,256,0.5185467956190913,huber,0.0018453672560507116,0.004440735149794318,0.7396506071090698,-0.1352607011795044,1.1941382884979248,0.4825357373470436,COMPLETE
92,0.34440967389825666,2025-12-21 11:40:38.228089,2025-12-21 11:41:04.229955,0 days 00:00:26.001866,16,0.04855862141058175,256,0.5032938854968368,huber,0.0018148795693891577,0.006006401635179587,0.7702022790908813,0.057086944580078125,1.0882850885391235,0.34440967389825666,PRUNED
93,0.3527652234672267,2025-12-21 11:41:04.230122,2025-12-21 11:41:52.116775,0 days 00:00:47.886653,16,0.3290901207418226,256,0.5398315528472012,huber,0.00209055692781586,0.001679007877331449,0.7594621181488037,0.025844871997833252,1.1061675548553467,0.3527652234672267,PRUNED
