number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,params_max_iter,params_svm_kind,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
81,0.9206349206344205,2025-12-18 14:45:08.230419,2025-12-18 14:45:15.586265,0 days 00:00:07.355846,7.716667157374674,,0.46459474481336227,rbf,,svc,0.9576372224003232,0.9541762480528152,0.5598555134243418,COMPLETE
82,0.9018691588780051,2025-12-18 14:45:15.586481,2025-12-18 14:45:20.901845,0 days 00:00:05.315364,971.4522898770131,,0.1200886253150967,rbf,,svc,0.9426868102136309,0.9506898598026853,0.6592077640233941,COMPLETE
83,0.9195402298845576,2025-12-18 14:45:20.902096,2025-12-18 14:45:28.395934,0 days 00:00:07.493838,2.461033396056145,,1.2935969917939487,rbf,,svc,0.9470561866236163,0.9467584007121134,0.5365767079852517,COMPLETE
84,0.9115646258498401,2025-12-18 14:45:28.396211,2025-12-18 14:45:36.449893,0 days 00:00:08.053682,5.846444201747772,,2.2542222340920497,rbf,,svc,0.9388187211769689,0.939841258066909,0.4384867932152923,COMPLETE
85,0.9227272727267728,2025-12-18 14:45:36.450109,2025-12-18 14:45:43.539735,0 days 00:00:07.089626,11.34181921524547,,0.5158629673015963,rbf,,svc,0.9560658109300284,0.9535271864105035,0.567153683853985,COMPLETE
86,0.9170506912437398,2025-12-18 14:45:43.540128,2025-12-18 14:45:49.124604,0 days 00:00:05.584476,13.548534117724447,,0.233885946803353,rbf,,svc,0.9559781365862818,0.9552703805355686,0.6094186558271982,COMPLETE
87,0.8868360277131261,2025-12-18 14:45:49.124819,2025-12-18 14:45:52.211187,0 days 00:00:03.086368,35.054626322609856,,0.45316974685392475,poly,,svc,0.9401822567281096,0.943383280172094,0.5701385417374998,COMPLETE
88,0.9185520361985949,2025-12-18 14:45:52.211398,2025-12-18 14:45:58.978037,0 days 00:00:06.766639,22.164846113297205,,0.6211955244685012,rbf,,svc,0.9516226552625573,0.9512832875899414,0.5627997123991423,COMPLETE
89,0.8909090909085908,2025-12-18 14:45:58.978253,2025-12-18 14:46:25.028098,0 days 00:00:26.049845,9.647345584591198,,,,11833.0,linear_calibrated,0.9404346820252533,0.949206290334545,0.4907903138909977,COMPLETE
90,0.9015317286647083,2025-12-18 14:46:25.028331,2025-12-18 14:46:28.473815,0 days 00:00:03.445484,4.675665677762033,,0.05478365021401672,rbf,,svc,0.9449090487806979,0.9586825903122914,0.4533105394875933,COMPLETE
91,0.9241379310339829,2025-12-18 14:46:28.474115,2025-12-18 14:46:35.822523,0 days 00:00:07.348408,3.131762709619999,balanced,1.0789046377261247,rbf,,svc,0.9487925501598493,0.9485572286922336,0.5539146138689033,COMPLETE
92,0.9241379310339829,2025-12-18 14:46:35.822742,2025-12-18 14:46:43.129075,0 days 00:00:07.306333,6.884339575019246,balanced,1.01762251918756,rbf,,svc,0.9482837276912496,0.9485015948371782,0.55950982682541,COMPLETE
93,0.8859649122802022,2025-12-18 14:46:43.129285,2025-12-18 14:46:50.693858,0 days 00:00:07.564573,3.158576092357822,,1.7187335517622382,rbf,,svc,0.9356167749380297,0.9401008827238335,0.5,COMPLETE
94,0.9082774049212002,2025-12-18 14:46:50.694073,2025-12-18 14:46:58.271033,0 days 00:00:07.576960,0.901711599780819,balanced,2.9137332178496798,rbf,,svc,0.9376824459888609,0.9373748238261256,0.40329221142772914,COMPLETE
