number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cls_weight,params_dropout,params_hidden_dim,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
96,0.3623829865720396,2025-12-23 09:50:40.174641,2025-12-23 09:51:25.741756,0 days 00:00:45.567115,16,0.6639072140340062,0.25988943959616656,768,0.00019128952101678018,8,3,2.6870733614011738e-06,PRUNED
97,0.4273640370901647,2025-12-23 09:51:25.741941,2025-12-23 09:52:08.296609,0 days 00:00:42.554668,16,0.3772459886953877,0.0938595967777957,256,7.891311805217055e-05,4,3,3.3588888650200285e-05,PRUNED
98,0.3155724672409797,2025-12-23 09:52:08.296823,2025-12-23 09:53:04.551878,0 days 00:00:56.255055,128,0.566392294114617,0.22710820913292762,768,0.00011390501250225879,4,2,0.0014262244265895378,PRUNED
99,0.3803412712505051,2025-12-23 09:53:04.552072,2025-12-23 09:53:49.497765,0 days 00:00:44.945693,16,0.20212572277866012,0.2923698996208816,512,4.692583888574346e-05,4,3,2.846952862845138e-07,PRUNED
100,0.3947481801364125,2025-12-23 09:53:49.497951,2025-12-23 09:54:33.025162,0 days 00:00:43.527211,16,1.79762586111099,0.23983130245756398,256,0.00014815833543685593,8,4,0.002339316749884567,PRUNED
101,0.41438099715538096,2025-12-23 09:54:33.025346,2025-12-23 09:55:14.961284,0 days 00:00:41.935938,16,0.2180312979808363,0.11032169618852171,384,5.83335017707174e-05,4,4,1.2192539835553729e-05,PRUNED
102,0.30511426118205526,2025-12-23 09:55:14.961465,2025-12-23 09:55:58.397916,0 days 00:00:43.436451,16,0.10088617387189538,0.14207633059801283,384,1.997575223168273e-05,4,4,9.449943134947212e-06,PRUNED
103,0.5332907454454058,2025-12-23 09:55:58.398102,2025-12-23 09:59:29.759515,0 days 00:03:31.361413,16,0.15334844935022043,0.1887142891253583,384,9.816395594858029e-05,4,4,0.00021102864342443535,PRUNED
104,0.3463620387214858,2025-12-23 09:59:29.759780,2025-12-23 10:00:11.802604,0 days 00:00:42.042824,16,0.29255095504067197,0.08540728185544029,384,1.5900406302816875e-05,4,4,2.6121788462118813e-05,PRUNED
105,0.3973739411855532,2025-12-23 10:00:11.802814,2025-12-23 10:00:53.910116,0 days 00:00:42.107302,16,0.1377202715972215,0.25186669604552847,384,5.0866457350829446e-05,4,3,0.0005285334898848478,PRUNED
106,0.3574455264615938,2025-12-23 10:00:53.910301,2025-12-23 10:01:36.549300,0 days 00:00:42.638999,16,0.26738878481657913,0.10280124153557493,256,0.0002569034998772587,4,4,6.22818571482333e-05,PRUNED
