number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cls_weight,params_dropout,params_hidden_dim,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
65,0.2960432246654115,2025-12-23 03:57:37.918041,2025-12-23 03:57:39.959066,0 days 00:00:02.041025,16,0.5570642266121338,0.14343240425878118,768,0.00022073320888496342,8,3,5.859545808898467e-07,PRUNED
66,0.022819964787689054,2025-12-23 03:57:39.959214,2025-12-23 03:57:40.473894,0 days 00:00:00.514680,64,0.27153755015885467,0.03207842854228447,384,3.5141035604255934e-05,4,2,5.309943302492059e-06,PRUNED
67,0.580959642112505,2025-12-23 03:57:40.474036,2025-12-23 03:58:08.342165,0 days 00:00:27.868129,16,0.3181341891739856,0.11767261227537999,256,0.0001409596076579343,8,3,8.766316640711423e-06,COMPLETE
68,0.48896866002607087,2025-12-23 03:58:08.342439,2025-12-23 03:58:10.286800,0 days 00:00:01.944361,16,0.3175356781395669,0.10992886449383668,256,0.00017320772512871064,8,3,1.0889370672764428e-05,PRUNED
69,0.4941076731443008,2025-12-23 03:58:10.286969,2025-12-23 03:58:14.930611,0 days 00:00:04.643642,16,0.24745136165306653,0.16523499670970349,384,0.00014592513366740517,8,3,2.9481456862640175e-07,PRUNED
70,0.5683715417885781,2025-12-23 03:58:14.930762,2025-12-23 03:58:31.610606,0 days 00:00:16.679844,16,0.3539243832527478,0.12759680711619387,512,9.137061627593643e-05,8,3,3.4421299711640686e-06,COMPLETE
71,0.5926316705468855,2025-12-23 03:58:31.610874,2025-12-23 03:58:57.095503,0 days 00:00:25.484629,16,0.29331613012593555,0.06773313718640918,256,0.00011987622631192274,8,3,5.279397670067118e-05,COMPLETE
72,0.4203547276329628,2025-12-23 03:58:57.095754,2025-12-23 03:58:58.001937,0 days 00:00:00.906183,16,0.2953797894962187,0.06568190346263007,256,0.00011682023413866073,8,3,1.9500106673894964e-05,PRUNED
73,0.4891718380076932,2025-12-23 03:58:58.002088,2025-12-23 03:58:59.892152,0 days 00:00:01.890064,16,0.2150976619886631,0.22053021810991386,256,0.00019908271409191115,8,3,5.318130169129199e-05,PRUNED
74,0.5691020228870001,2025-12-23 03:58:59.892305,2025-12-23 03:59:15.531776,0 days 00:00:15.639471,16,0.23280372654212494,0.021436771865834765,256,0.00016008432339483997,8,3,1.2744492207723723e-06,COMPLETE
75,0.4982081291040269,2025-12-23 03:59:15.532042,2025-12-23 03:59:18.218465,0 days 00:00:02.686423,16,0.3195569657301951,0.1915531442644619,256,0.00024738735802049423,8,3,6.58126701259603e-06,PRUNED
76,0.40867778459306975,2025-12-23 03:59:18.218614,2025-12-23 03:59:19.361525,0 days 00:00:01.142911,16,0.2782929876751777,0.03981617814478234,384,5.079689680124249e-05,8,4,1.7384969943161667e-08,PRUNED
77,0.4903366368599899,2025-12-23 03:59:19.361673,2025-12-23 03:59:20.799914,0 days 00:00:01.438241,32,0.16523539458763797,0.10291040378871479,768,0.00013345135609139566,8,3,1.335332224508458e-10,PRUNED
78,0.4130204657686712,2025-12-23 03:59:20.800065,2025-12-23 03:59:21.726781,0 days 00:00:00.926716,16,0.3745860649129622,0.14283604328758023,256,0.00033138182904643627,8,3,0.00020755539325041674,PRUNED
79,0.36398690135530165,2025-12-23 03:59:21.726931,2025-12-23 03:59:22.460408,0 days 00:00:00.733477,32,0.4265375778802582,0.01125953995029394,512,2.446114156849638e-05,8,3,2.4418117858264695e-05,PRUNED
80,0.3698453101283308,2025-12-23 03:59:22.460549,2025-12-23 03:59:23.604718,0 days 00:00:01.144169,16,0.1985726716075619,0.2515269945934052,256,6.758940460504704e-05,8,4,9.962550068865788e-06,PRUNED
81,0.013641879285614077,2025-12-23 03:59:23.604857,2025-12-23 03:59:24.131506,0 days 00:00:00.526649,128,0.4935422328167199,0.11497689844504616,256,0.00011092799556043226,8,3,5.640725428333117e-05,PRUNED
82,0.3685099278077502,2025-12-23 03:59:24.131648,2025-12-23 03:59:24.770015,0 days 00:00:00.638367,32,0.6206295139799489,0.07402733383878263,256,8.094877776775646e-05,8,3,0.0003849355266584262,PRUNED
83,0.022222012649592376,2025-12-23 03:59:24.770155,2025-12-23 03:59:25.324281,0 days 00:00:00.554126,64,0.3340756144386543,0.24126971355686525,256,5.7205735884767895e-05,4,2,1.9350033370576684e-06,PRUNED
84,0.42441051090943316,2025-12-23 03:59:25.324427,2025-12-23 03:59:26.010000,0 days 00:00:00.685573,32,0.9046843885524163,0.08707112933892833,384,0.00010275047735543948,8,3,0.00229941104581191,PRUNED
85,0.37631606557072783,2025-12-23 03:59:26.010141,2025-12-23 03:59:26.929151,0 days 00:00:00.919010,16,0.25473551789598337,0.055592145809423024,256,3.7373461109351144e-05,8,3,0.00010329495364344727,PRUNED
86,0.38218936523817554,2025-12-23 03:59:26.929292,2025-12-23 03:59:27.641988,0 days 00:00:00.712696,32,0.8311418383430719,0.17833204822425136,768,0.00018354611205288542,8,2,7.789830672196329e-07,PRUNED
87,0.5453962153357886,2025-12-23 03:59:27.642131,2025-12-23 03:59:32.332467,0 days 00:00:04.690336,16,0.38585358077815285,0.12126227653682045,512,4.133153600122725e-05,8,3,6.521353824856996e-10,PRUNED
88,0.41620877171806886,2025-12-23 03:59:32.332619,2025-12-23 03:59:32.992030,0 days 00:00:00.659411,32,0.4434909277329139,0.300132517001542,256,0.000132948780991839,4,3,3.724290721432916e-06,PRUNED
89,0.47642870692743083,2025-12-23 03:59:32.992188,2025-12-23 03:59:34.302577,0 days 00:00:01.310389,16,0.29644135242370795,0.15493355536323145,384,7.259897344755824e-05,8,1,4.105685005300603e-05,PRUNED
90,0.37600396698352545,2025-12-23 03:59:34.302731,2025-12-23 03:59:35.003666,0 days 00:00:00.700935,32,0.6479693877209681,0.0434496688450842,256,6.140190325466027e-05,8,4,8.25947926576463e-06,PRUNED
91,0.49087105451523405,2025-12-23 03:59:35.003816,2025-12-23 03:59:37.212546,0 days 00:00:02.208730,16,0.3146064866367037,0.0016920155665982352,384,8.573059573904766e-05,8,4,1.5593328030916227e-07,PRUNED
92,0.5204822598840843,2025-12-23 03:59:37.212701,2025-12-23 03:59:40.463478,0 days 00:00:03.250777,16,0.33412013635794735,0.06126148967451484,384,0.00015958232968461025,8,4,9.614527994760514e-08,PRUNED
93,0.38576003626536554,2025-12-23 03:59:40.463630,2025-12-23 03:59:41.593685,0 days 00:00:01.130055,16,0.356538507503754,0.20864380896342843,384,4.6671799652210084e-05,8,4,2.3062381092383065e-08,PRUNED
94,-0.023555422641942214,2025-12-23 03:59:41.593832,2025-12-23 03:59:42.193753,0 days 00:00:00.599921,128,0.2858652649792017,0.07927739635331248,384,0.002340186387940412,8,4,8.891109073963524e-05,PRUNED
