number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cls_weight,params_dropout,params_hidden_dim,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
103,0.41737966053570974,2025-12-23 03:58:01.185598,2025-12-23 03:58:02.197685,0 days 00:00:01.012087,16,0.10003800002773056,0.23185639495017912,512,5.5483909325854446e-05,4,3,1.007820185892583e-05,PRUNED
104,0.3784407035993852,2025-12-23 03:58:02.197848,2025-12-23 03:58:03.195863,0 days 00:00:00.998015,16,0.16727061359317144,0.1769232107262267,512,9.270248437279694e-05,4,3,3.811695474048511e-05,PRUNED
105,0.4738317862333991,2025-12-23 03:58:03.196016,2025-12-23 03:58:05.018444,0 days 00:00:01.822428,16,0.15102584998650762,0.24025203793800626,512,0.00015781149464124913,4,3,3.283302384155073e-08,PRUNED
106,0.10309455161565866,2025-12-23 03:58:05.018620,2025-12-23 03:58:06.412730,0 days 00:00:01.394110,128,0.621072663359487,0.01707928620225519,256,0.00013177359628777611,4,3,1.5562730703242354e-07,PRUNED
107,0.4969138865573521,2025-12-23 03:58:06.412919,2025-12-23 03:58:07.840161,0 days 00:00:01.427242,32,0.19793425671961645,0.15308342011181017,512,4.9050828731713624e-05,4,3,8.834455869078398e-07,PRUNED
108,0.5511585494772986,2025-12-23 03:58:07.840311,2025-12-23 03:58:27.268935,0 days 00:00:19.428624,16,0.12121736417318413,0.1656667432545439,384,7.785764372651787e-05,8,3,7.185672195251974e-06,COMPLETE
109,0.5068588000980653,2025-12-23 03:58:27.269239,2025-12-23 03:58:29.353804,0 days 00:00:02.084565,16,0.13195929652850089,0.19312500742003524,768,6.88831222206266e-05,4,3,0.0011263475494968605,PRUNED
110,0.2502186451087754,2025-12-23 03:58:29.353970,2025-12-23 03:58:30.082501,0 days 00:00:00.728531,128,0.10931442626434446,0.05898149899444931,512,0.00018720354435863262,8,2,2.018056717501855e-05,PRUNED
111,0.3760713059462891,2025-12-23 03:58:30.082656,2025-12-23 03:58:31.009411,0 days 00:00:00.926755,16,0.12258174931993125,0.16548787600947357,384,5.704440242923928e-05,8,3,2.9792307489659622e-06,PRUNED
112,0.46922324289216505,2025-12-23 03:58:31.009560,2025-12-23 03:58:35.073356,0 days 00:00:04.063796,16,0.1384586274571697,0.17044180977331175,384,8.880039340401664e-05,8,3,6.440427987529359e-06,PRUNED
113,0.4134798022943571,2025-12-23 03:58:35.073530,2025-12-23 03:58:36.922331,0 days 00:00:01.848801,16,0.1583114443071104,0.3920856700603445,384,0.00010324388893668427,8,3,3.046317440282126e-05,PRUNED
114,0.49030117911341103,2025-12-23 03:58:36.922485,2025-12-23 03:58:38.776710,0 days 00:00:01.854225,16,0.11779789378044696,0.202571422877737,384,0.00014522145950178546,8,3,1.2990934343479002e-05,PRUNED
115,0.40494675844812966,2025-12-23 03:58:38.776862,2025-12-23 03:58:39.777149,0 days 00:00:01.000287,16,0.2678152241576329,0.3050696962793934,384,7.8980381856483e-05,8,3,0.00012061696500831639,PRUNED
116,0.41669517765904696,2025-12-23 03:58:39.777311,2025-12-23 03:58:40.899568,0 days 00:00:01.122257,16,0.17668954572404413,0.1853690778837333,768,0.00011440058580873391,4,3,2.169732441691842e-06,PRUNED
117,0.3838248181846681,2025-12-23 03:58:40.899721,2025-12-23 03:58:41.630695,0 days 00:00:00.730974,32,0.12319260389325266,0.2232528507861015,384,0.00012545186061260261,8,3,7.839627427967761e-05,PRUNED
118,0.3806706084386579,2025-12-23 03:58:41.630849,2025-12-23 03:58:42.656139,0 days 00:00:01.025290,16,0.40310876995305545,0.21440009092511,512,6.67933571058757e-05,4,3,0.0002565444000377927,PRUNED
119,0.5481187502410487,2025-12-23 03:58:42.656291,2025-12-23 03:58:59.236237,0 days 00:00:16.579946,16,0.14645034973459545,0.3318381993937456,768,0.00022234437713694163,8,1,6.32240054446207e-06,COMPLETE
120,0.37133119051883073,2025-12-23 03:58:59.236513,2025-12-23 03:59:01.256475,0 days 00:00:02.019962,16,0.16230971720871826,0.15450326305984288,768,4.469011694686641e-05,4,3,4.83806780430701e-05,PRUNED
121,0.5439036030372216,2025-12-23 03:59:01.256637,2025-12-23 03:59:13.825440,0 days 00:00:12.568803,16,0.134724798208269,0.08205461036548173,384,0.00015971590780891162,8,3,5.330836298779024e-05,COMPLETE
