task,repr,model,run,trial_index,f1,best_so_far,auc,ap,threshold,kind_hint
halflife,wt,xgb_log,xgb_wt_log,34,0.49909513935752703,0.6805819427680386,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,35,0.33977771200033297,0.6805819427680386,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,36,0.6682637175595673,0.6805819427680386,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,37,0.5745083368062024,0.6805819427680386,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,38,0.6118051853540738,0.6805819427680386,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,39,0.6819506344578686,0.6819506344578686,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,40,0.593327847541367,0.6819506344578686,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,41,0.5402862378346702,0.6819506344578686,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,42,0.4906077144128994,0.6819506344578686,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,43,0.6422585754527945,0.6819506344578686,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,44,0.6330199065464411,0.6819506344578686,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,45,0.6470489963672001,0.6819506344578686,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,46,0.5496494286686593,0.6819506344578686,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,47,0.5960652309210273,0.6819506344578686,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,48,0.5526140952391735,0.6819506344578686,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,49,0.6395211920731343,0.6819506344578686,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,50,0.6668950258697373,0.6819506344578686,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,51,0.534867875109014,0.6819506344578686,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,52,0.5463035086989886,0.6819506344578686,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,53,0.689820611674392,0.689820611674392,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,54,0.5464441759728546,0.689820611674392,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,55,0.6788710781557509,0.689820611674392,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,56,0.6162534333460219,0.689820611674392,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,57,0.6829771532252413,0.689820611674392,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,58,0.6289138314769507,0.689820611674392,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,59,0.6901627845968495,0.6901627845968495,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,60,0.5411098242028696,0.6901627845968495,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,61,0.5577267948084419,0.6901627845968495,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,62,0.5246222484212307,0.6901627845968495,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,63,0.5427486144716919,0.6901627845968495,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,64,0.5454123249594968,0.6901627845968495,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,65,0.5363257909538686,0.6901627845968495,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,66,0.6881097470621043,0.6901627845968495,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,67,0.6881097470621043,0.6901627845968495,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,68,0.630966869011696,0.6901627845968495,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,69,0.5355631733956515,0.6901627845968495,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,70,0.6638154695676194,0.6901627845968495,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,71,0.5412408275338638,0.6901627845968495,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,72,0.6976905888909154,0.6976905888909154,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,73,0.5591768528443556,0.6976905888909154,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,74,0.6535502818938933,0.6976905888909154,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,75,0.6809241156904962,0.6976905888909154,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,76,0.33977771200033297,0.6976905888909154,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,77,0.5057315793922378,0.6976905888909154,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,78,0.6949532055112551,0.6976905888909154,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,79,0.6579985298858412,0.6976905888909154,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,80,0.703849701495151,0.703849701495151,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,81,0.5480779502355202,0.703849701495151,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,82,0.5120854608794418,0.703849701495151,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,83,0.7072714307197264,0.7072714307197264,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,84,0.4945039962225124,0.7072714307197264,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,85,0.5351584507235859,0.7072714307197264,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,86,0.6733963113964303,0.7072714307197264,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,87,0.6764758676985482,0.7072714307197264,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,88,0.6723697926290578,0.7072714307197264,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,89,0.6720276197066002,0.7072714307197264,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,90,0.5444622409202813,0.7072714307197264,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,91,0.5434105764064834,0.7072714307197264,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,92,0.7086401224095565,0.7086401224095565,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,93,0.5426216232095196,0.7086401224095565,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,94,0.5439819143776384,0.7086401224095565,NA,NA,NA,regression
